_id,objectid_1,objectid,acreage,sqft,final_cat,Neighborhood,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_1,shape_area,shape_length
18802,1227,119,22.72831092,990041.2635,Community Park,Beechview,8,McBride Park,McBride Park,McBride Park,Frick,7470.062767,c5ca4ed7-b654-4d29-9e89-caba44345bf4,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Frick,22.72831092,5e10494f-6877-4f7c-b59a-cde46adcc9c0,158644.9648,2987.594316
18803,1228,34,7.04343072,306810.6148,Neighborhood Park,Squirrel Hill,11,Chadwick Rec Center,Chadwick Park,Chadwick Park,Highland,2425.202792,ad00f128-3d9f-4bfd-93e9-98fe0d4241a4,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,7.043430718,a4146660-a654-4d7a-96fb-257bad073721,49302.06641,1009.731837
18804,1229,118,3.48116345,151638.8734,Neighborhood Park,East Liberty,15,Martin Luther King Field,Martin Luther King Park,Martin Luther King Park,Schenley,1676.041091,bfb9c411-1a59-4391-b943-43f1c525cdb4,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Schenley,3.481163452,8d447a3c-18ed-4cad-95fa-68db7207d730,24348.69922,671.624181
18805,1230,77,0.0072054,313.8658924,Beautification Site,Glen Hazel,10,Glen Arden Triangle,Glen Arden Triangle,Glen Arden Triangle,,69.95243577,42b935d1-085d-4ec1-951b-8c2e02bf702a,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,3rd Division,7.21E-03,e2ca5ae4-f359-40d7-8f6a-d8b807385e98,50.41015625,28.04121672
18806,1231,5,1.54812994,67436.27059,Riverfront Park,North Side,16,Allegheny Riverfront Park,Allegheny Riverfront Park,Allegheny Riverfront Park,Riverview,3789.706844,56eb2a1a-f465-4488-8ee7-2939c1a56513,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,1.548129943,297d4fb8-5cf6-4ab5-a3ff-f7f49d47414c,10829.84375,1690.459541
18807,1232,103,0.45531625,19833.49648,Neighborhood Park,Morningside,5,Leolyn Parklet,Leolyn Park,Leolyn Park,McKinley,617.7229284,f027a6f9-cb67-4ec2-8d03-66eb8ad658f0,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,0.455316249,3a579dbf-3ecf-4044-911a-0f56cdb9f6c3,3180.855469,247.3567189
18808,1233,212,1.05345062,45888.12559,Community Park,Beltzhoover,4,Tuxedo Street Skate Park,Tuxedo Street Skate Park,Tuxedo Street Skate Park,Emerald,898.4716215,d54d5c1a-2212-4d36-8d4a-11f7d43e3c7f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,1.053450623,b9052479-b861-4b01-9e1f-b85e21748e01,7371.191406,402.6966608
18809,1234,24,0.77946962,33953.56077,Neighborhood Park,Bon Air,6,Bon Air Tot Lot,Bon Air Park,Bon Air Park,McKinley,939.8112064,48c76f2a-fc5c-4ed8-9ab0-465403a64d69,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,0.779469619,f30f2b55-89c5-4eb7-a5d4-f2581aa7233b,5446.730469,328.0060535
18810,1235,145,1.19746041,52161.16695,Neighborhood Park,Mount Washington,12,Osceola Parklet,Osceola Park,Osceola Park,Highland,907.565864,975a22ed-f845-4214-964f-4d2824d17d41,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,1.197460413,2ae81bf8-1d80-41d0-b912-5c2ebb30c6f5,8379.707031,363.7810933
18811,1236,205,0.05364606,2336.812919,Neighborhood Park,Carrick,14,Dunseith Tot Lot (Shalane's Play Yard),Shalane's Play Yard Park,Dunseith Park (Shalane's Play Yard),Schenley,262.0669419,9177883a-579b-4f61-a9a2-8be643b68407,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Schenley,5.36E-02,7565d587-3469-4e40-85ce-8b9bfab5d6f3,375.2578125,78.91665558
